time,regd,power,in1,in2,heatflow,pressure
856.476768339483,0.779928,0.78714143795835,0.352710048,0.41847,1.37964408266461,18.6650370640974
856.527711751666,0.779928,0.786111640116494,0.352710048,0.41847,1.37912456336067,18.6639404676577
856.576952264748,0.779928,0.785096014454832,0.352710048,0.41847,1.37862229081794,18.6628781728596
856.625717953944,0.779928,0.784088364311468,0.352710048,0.41847,1.37812467194151,18.6618241068032
856.674983101144,0.779928,0.783088118884736,0.352710048,0.41847,1.37762172435761,18.6607574440483
856.725748944603,0.779928,0.782097742900639,0.352710048,0.41847,1.37710320025282,18.6596566160662
856.779482271559,0.779928,0.781118824837274,0.352710048,0.41847,1.37655410098508,18.6584898123556
856.839378355561,0.779928,0.780142155993777,0.352710048,0.41847,1.37594176309363,18.6571874655214
856.904923045018,0.779928,0.779247416060087,0.352710048,0.41847,1.37527148440392,18.6557605076073
856.970467734475,0.779928,0.77856663031061,0.352710048,0.41847,1.37460118409796,18.654331953152
857.024507934331,0.779928,0.778182547065117,0.352710048,0.41847,1.37404867710564,18.6531531116953
857.075094081735,0.779928,0.777974454361816,0.352710048,0.41847,1.37353173420832,18.652048886668
857.12482057522,0.779928,0.777912879126805,0.352710048,0.41847,1.37302393635861,18.6509628211135
857.174831311384,0.779928,0.777989397951325,0.352710048,0.41847,1.37251372487415,18.6498700132405
857.226172214317,0.779928,0.778202784985822,0.352710048,0.41847,1.37199059435617,18.6487476478596
857.280303422796,0.779928,0.778559619712937,0.352710048,0.41847,1.37143991226153,18.6475638097918
857.340287565717,0.779928,0.779086267199481,0.352710048,0.41847,1.37083095896633,18.6462514743635
857.412837764604,0.779928,0.77985582269569,0.352710048,0.41847,1.37009657212964,18.6446636228471
857.478171575761,0.779928,0.780614517169393,0.352710048,0.41847,1.36943758630851,18.6432332378368
857.532126385863,0.779928,0.781244625738976,0.352710048,0.41847,1.36889530114279,18.6420516909355
857.582672732908,0.779928,0.78180598377177,0.352710048,0.41847,1.36838903352125,18.6409445803511
857.632303802717,0.779928,0.782303772349439,0.352710048,0.41847,1.36789374179829,18.6398573472794
857.682121892474,0.779928,0.782726949995144,0.352710048,0.41847,1.36739853225482,18.6387658680684
857.733114193597,0.779928,0.783059768246513,0.352710048,0.41847,1.36689382332384,18.637648526121
857.786607984783,0.779928,0.783281245353676,0.352710048,0.41847,1.36636688403071,18.6364762409786
857.845208268769,0.779928,0.783358295136333,0.352710048,0.41847,1.36579281890735,18.6351919160132
857.912038445998,0.779928,0.783226051240634,0.352710048,0.41847,1.36514246392177,18.6337270715323
857.980041383679,0.779928,0.782857706099439,0.352710048,0.41847,1.36448575941452,18.6322363841555
858,0.767504,0.782708210354162,0.344435664,0.41847,1.36429403709917,18.6317988497275
858.022485673888,0.767504,0.782519298696809,0.344435664,0.41847,1.36407861031026,18.6313058018087
858.044971347776,0.767504,0.782310128210435,0.344435664,0.41847,1.36386378140112,18.6308122112665
858.071053674515,0.767504,0.782043849476079,0.344435664,0.41847,1.36361529894641,18.6302385663476
858.099923870115,0.767504,0.781721110479305,0.344435664,0.41847,1.36334106351301,18.6296019272003
858.132747008592,0.767504,0.781319558692357,0.344435664,0.41847,1.36303017251134,18.6288758055569
858.17119182392,0.767504,0.780802392260405,0.344435664,0.41847,1.36266702528196,18.6280221748965
858.215611978222,0.767504,0.780140234931326,0.344435664,0.41847,1.36224844254455,18.6270318280652
858.266690658107,0.767504,0.779290226124702,0.344435664,0.41847,1.36176800125071,18.6258881037686
858.320519892066,0.767504,0.778290714776966,0.344435664,0.41847,1.36126221773704,18.6246776841379
858.372238766313,0.767504,0.77723420053534,0.344435664,0.41847,1.36077635818697,18.623510360068
858.423630034953,0.767504,0.776101391078609,0.344435664,0.41847,1.36029334361295,18.622346709193
858.474869804831,0.767504,0.774905999632043,0.344435664,0.41847,1.35981127514208,18.6211832385027
858.525962211027,0.767504,0.773670247707618,0.344435664,0.41847,1.35932993356271,18.6200202699533
858.575452945018,0.767504,0.772456022068394,0.344435664,0.41847,1.35886292874688,18.6188913725735
858.624537643738,0.767504,0.771261136893632,0.344435664,0.41847,1.35839894473363,18.6177696895367
858.674203213891,0.767504,0.770089204837696,0.344435664,0.41847,1.35792860380674,18.6166328982091
858.725489016623,0.767504,0.768947781497876,0.344435664,0.41847,1.35744198981402,18.6154573126806
858.779960259284,0.767504,0.767844598938783,0.344435664,0.41847,1.35692413366362,18.6142070391258
858.841185763469,0.767504,0.766777783326318,0.344435664,0.41847,1.35634087462083,18.6127999477116
858.903952271128,0.767504,0.765912401616239,0.344435664,0.41847,1.3557417414833,18.6113557474752
858.966718778788,0.767504,0.765307434452673,0.344435664,0.41847,1.35514155957104,18.609910079895
859.020924856182,0.767504,0.76500726897068,0.344435664,0.41847,1.3546225386888,18.608660563871
859.072048317676,0.767504,0.764914825947861,0.344435664,0.41847,1.35413257760789,18.6074813558825
859.122389466819,0.767504,0.764999256522185,0.344435664,0.41847,1.35364981000739,18.6063195678092
859.173127302157,0.767504,0.765248869881898,0.344435664,0.41847,1.35316306723964,18.6051480722859
859.225392672759,0.767504,0.765660156276599,0.344435664,0.41847,1.35266163996848,18.6039407966893
859.280848154473,0.767504,0.766239901558369,0.344435664,0.41847,1.35212975087144,18.6026593363709
859.343295148897,0.767504,0.767025322764852,0.344435664,0.41847,1.35153122320589,18.6012157856286
859.42100878646,0.767504,0.768113738573195,0.344435664,0.41847,1.35078741217675,18.5994186566815
859.483922048669,0.767504,0.769008400647277,0.344435664,0.41847,1.35018646408348,18.5979633284149
859.537131053146,0.767504,0.769723231624296,0.344435664,0.41847,1.34967929556426,18.5967322098763
859.58783929055,0.767504,0.770333111163178,0.344435664,0.41847,1.34919706640421,18.5955587507866
859.63802636857,0.767504,0.770839620425174,0.344435664,0.41847,1.34872101106154,18.5943971814954
859.688758835745,0.767504,0.77122930326028,0.344435664,0.41847,1.34824116967803,18.5932228373087
